Arquivo,Parágrafo,Número do parágrafo
adenovirus_guia_1txt_guiavsa2023.txt,"Nesse mesmo período, foi publicada a primeira edição do Boletim Epidemiológico do COE (BE COE-nCoV) N.º 01/2020, da SVS/MS (Brasil, 2020e), que apresentou a versão resumida do primeiro Guia de Vigilância Epidemiológica da Covid-19, naquele momento ainda denominada “Infecção Humana pelo novo Coronavírus (2019-nCoV)”.",57
adenovirus_guia_1txt_guiavsa2023.txt,"Nas semanas seguintes, passou (UFs).",64
adenovirus_guia_1txt_guiavsa2023.txt,"Ainda em relação às ações de vigilância do MS em resposta à covid-19, em 3 de abril de 2020, foi publicada a primeira edição do Guia de Vigilância Epidemiológica: Emergência de Saúde Pública de Importância Nacional pela Doença pelo Coronavírus 2019 | Vigilância Integrada de Síndromes Respiratórias Agudas Doença pelo Coronavírus 2019, Influenza e Outros Vírus Respiratórios (Brasil, 2020m).",74
adenovirus_guia_1txt_guiavsa2023.txt,"Em 15 de março de 2021, foi publicado o Guia de Vigilância Epidemiológica – Emergência de Saúde Pública de Importância Nacional pela Doença pelo Coronavírus – Covid-19, descrito como versão 3, sendo a primeira versão com número registrado no International Standard Book Number (ISBN) – Padrão Internacional de Numeração de Livro (Brasil, 2021b).",76
adenovirus_guia_1txt_guiavsa2023.txt,"Considerando as atualizações internacionais da covid-19 pela variante de preocupação Ômicron, características clínicas e tempo de isolamento para covid-19, em 20 de janeiro de 2022, foi publicada a quarta versão, denominada Guia de Vigilância Epidemiológica: Emergência de Saúde Pública de Importância Nacional pela Doença pelo Coronavírus 2019 – covid-19 (Brasil, 2022c).",77
adenovirus_guia_1txt_guiavsa2023.txt,"Esse Guia apresentou, entre suas atualizações, a revisão do tempo de isolamento dos casos com covid-19 e introduziu o termo quarentena de contatos.",78
adenovirus_guia_1txt_guiavsa2023.txt,"Dessa forma, a nova terminologia deve ser vista como um ponto de partida para revisão de evidências, discussões detalhadas e pesquisas e/ou disciplinas específicas.",120
adenovirus_guia_1txt_guiavsa2023.txt,"Para mais informações, acesse o documento na íntegra em: https://www.who.int/publications/m/item/global-technical-consultation-report- on-proposed-terminology-for-pathogens-that-transmit-through-the-air. ` PERÍODO DE INCUBAÇÃO Período de incubação é o intervalo entre a data do primeiro contato com o vírus (exposição) até o início dos sintomas da doença.",121
adenovirus_guia_1txt_guiavsa2023.txt,"Considerando as características gerais da infecção, as manifestações clínicas e as possíveis complicações, e, com o objetivo de orientar a conduta terapêutica adequada a cada caso, foram elaborados, pelo MS, documentos técnicos contendo orientações quanto ao manejo clínico e tratamento de pacientes hospitalizados com covid-19, disponíveis por meio do link: https://www.gov.br/saude/pt-br/coronavirus/publicacoes-tecnicas/recomendacoes. 2.4.1 TRATAMENTO AMBULATORIAL A maioria dos casos de covid-19 apresentam sintomas leves e podem ser tratados ambulatorialmente.",162
adenovirus_guia_1txt_guiavsa2023.txt,"DEFINIÇÃO 2: SÍNDROME RESPIRATÓRIA AGUDA GRAVE – SRAG Indivíduo com SG que apresente: dispneia/desconforto respiratório ou pressão ou dor persistente no tórax ou SpO2 ≤94% em ar ambiente ou coloração azulada (cianose) dos lábios ou rosto (Brasil, 2022f). • Em crianças: além dos itens anteriores, observar os batimentos das asas nasais, cianose, tiragem intercostal, desidratação e inapetência. • Para efeito de notificação no Sivep-Gripe, devem ser considerados os casos de Srag hospitalizados ou os óbitos por Srag, independentemente de hospitalização. ` CASOS CONFIRMADOS DE COVID-19 • Caso de SG ou Srag com teste de: » BIOLOGIA MOLECULAR: resultado DETECTÁVEL para SARS-CoV-2 realizado pelos seguintes métodos: › RT-qPCR; › RT-LAMP. » PESQUISA DE ANTÍGENO: resultado REAGENTE para SARS-CoV-2 pelo TR-AG. • Casos assintomáticos com teste de biologia molecular ou pesquisa de antígeno reagente/ detectável para covid-19 devem ser considerados confirmados para covid-19 (Brasil, 2022f).",180
adenovirus_guia_1txt_guiavsa2023.txt,"GUIA DE VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS POR CRITÉRIO CLÍNICO-EPIDEMIOLÓGICO Caso de SG ou Srag com histórico de contato próximo ou domiciliar, nos 7 dias anteriores ao aparecimento dos sinais e dos sintomas com caso confirmado para covid-19 (Brasil, 2022f). ` CASO DE SG DESCARTADO PARA COVID-19 laboratorial específico, excluindo-se a possibilidade de uma coinfecção, ou confirmação por causa não infecciosa, atestada pelo médico responsável (Brasil, 2022e).",183
adenovirus_guia_1txt_guiavsa2023.txt,Mais informações sobre o processo de integração podem ser solicitadas por meio do e-mail esusve.svs@saude.gov.br ou por web atendimento: https://webatendimento.saude.gov.br/faq/e-notifica.,203
adenovirus_guia_1txt_guiavsa2023.txt,"As orientações sobre o preenchimento e a emissão da Declaração de Óbito e o registro no SIM encontram-se disponíveis nos documentos Manejo de corpos no contexto do novo coronavírus covid-19 e Orientações para codificação das causas de morte no contexto da covid-19, disponíveis em www.saude.gov.br/coronavirus.",215
adenovirus_guia_1txt_guiavsa2023.txt,"Fonte: elaboração própria. ` ENCERRAMENTO DOS CASOS Após a investigação dos casos, a análise e a validação da qualidade e da consistência dos dados, o profissional de saúde da vigilância epidemiológica, responsável no município e/ou no estado, cadastrado com o perfil Gestor no e-SUS Notifica, deve encerrar os casos no prazo máximo de 60 dias preenchendo os campos “Data de encerramento”, “Classificação final” e “Evolução do caso”.",216
adenovirus_guia_1txt_guiavsa2023.txt,"Caso o endereço de residência seja diferente do município de notificação, as fichas podem ser visualizadas, alteradas e encerradas pelos dois municípios.",217
adenovirus_guia_1txt_guiavsa2023.txt,"Em 2023, o Ministério da Saúde orientou a vacinação contra a covid-19 para toda população a partir de 6 meses de idade, tendo recomendação de esquema primário de 2 doses para a população a partir de 5 anos de idade e para crianças entre 3 e 4 anos de idade que iniciaram o esquema vacinal com a CoronaVac.",241
adenovirus_guia_1txt_guiavsa2023.txt,"A estratégia baseada em testagem laboratorial (necessidade de RT-qPCR para SARS-CoV-2 negativo) para descontinuidade do isolamento deve ser considerada nessa população, a critério médico. com covid-19, consultar a Nota Técnica GVIMS/GGTES/Anvisa n.º 04/2020 – Orientações para serviços de saúde: medidas de prevenção e controle que devem ser adotadas durante a assistência aos casos suspeitos ou confirmados de covid-19 (BRASIL, 2023d), disponível em: www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/servicosdesaude/notas- tecnicas/notas-tecnicas-vigentes/NOTATCNICAGVIMS0420covid1924.06.2024.pdf.",278
adenovirus_guia_1txt_guiavsa2023.txt,"SARS-CoV-2 estão descritas na Nota Técnica GVIMS/GGTES/Anvisa n.º 04/2020 – Orientações para serviços de saúde: medidas de prevenção e controle que devem ser adotadas durante a assistência aos casos suspeitos ou confirmados de covid-19 (BRASIL, 2023d), disponível em: www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/servicosdesaude/notas- tecnicas/notas-tecnicas-vigentes/NOTATCNICAGVIMS0420covid1924.06.2024.pdf. 2.7 RASTREAMENTO E MONITORAMENTO DE CONTATOS próximos de um caso confirmado de infecção pelo SARS-CoV-2 (Brasil, 2022c).",285
adenovirus_guia_1txt_guiavsa2023.txt,"A seguir, o Ministério da Saúde sugere a estratégia de rastreamento e monitoramento de contatos a ser utilizada pelas equipes locais.",287
adenovirus_guia_1txt_guiavsa2023.txt,"Com a melhora do cenário epidemiológico da covid-19 em nível global e no território nacional, além do avanço da vacinação, o Ministério da Saúde atualizou as orientações para contatos de casos confirmados de covid-19, a partir da publicação da Nota Técnica n.º 14/2022 – CGGRIPE/Deidt/SVS/ MS, de 27 de outubro de 2022 (Brasil, 2022f).",291
adenovirus_guia_1txt_guiavsa2023.txt,"GUIA DE VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS De acordo com a organização local, uma equipe poderá ser responsável por realizar o rastreamento dos contatos e outra equipe pelo monitoramento dos contatos.",311
adenovirus_guia_1txt_guiavsa2023.txt,"Isso inclui o aparecimento de qualquer sintoma de síndrome gripal, especialmente febre, calafrios, dor de garganta, dor de cabeça, tosse, coriza ou congestão nasal, distúrbios olfativos (perda de olfato) ou gustativos (perda de paladar) sem causa anterior, falta de ar ou dificuldade em respirar. • O que fazer caso apresente algum sintoma, incluindo: i) a quem se reportar; ii) como fazer isolamento e quais precauções adicionais deve tomar (observar sinais de gravidade); e iii) quais são os serviços de referência para diagnóstico e tratamento que deve buscar. • Canais oficiais de comunicação sobre a covid-19 (site do Ministério da Saúde e do governo local, telefones de contato, serviços de saúde de referência, entre outros). • Sigilo e confidencialidade das informações coletadas (como poderão ser usados, como serão armazenados, processados e divulgados – informes, boletins, artigos, entre outros). • Forma acordada de acompanhamento durante o período de monitoramento (pessoalmente, por telefone, e-mail, entre outros), incluindo a periodicidade e os horários disponíveis. • Possibilidade de realizar coleta de material para exames laboratoriais, caso esta seja uma estratégia municipal.",319
adenovirus_guia_1txt_guiavsa2023.txt,"Estratégias para o monitoramento dos contatos prioritários investigadores por telefone, e-mail ou visita domiciliar, preconizando-se de proteção pelos investigadores.",322
adenovirus_guia_1txt_guiavsa2023.txt,"Por isso, no primeiro contato, deve-se coletar informações de pessoas próximas (familiares, amigos, entre outros), bem como perguntar se ele está pensando em se mudar em breve, a fim de garantir informações acerca do seu eventual novo endereço e, assim, diminuir a perda de seguimento.",330
adenovirus_guia_1txt_guiavsa2023.txt,"Caso não consiga contatá-lo no número de tentativas estipuladas, o contato deverá ser encerrado como NÃO ENCONTRADO. b) Recusa Outra possibilidade é o contato ser encontrado, contudo ele pode se recusar a participar da estratégia de monitoramento; dessa forma, deverá ser encerrado como RECUSA. c) Perda de seguimento Para evitar perda de seguimento, na primeira entrevista realizada com o contato, devem-se coletar informações de pessoas próximas (familiares, amigos, entre outros), bem como perguntar se ele está pensando em se mudar em breve, a fim de garantir o seu novo endereço e, assim, diminuir a perda de seguimento.",336
adenovirus_guia_1txt_guiavsa2023.txt,"Para orientações para a coleta de amostras para realização do teste RT-qPCR, acessar o Anexo A.",357
adenovirus_guia_1txt_guiavsa2023.txt,"Para mais informações sobre TR-Ag para SARS-CoV-2, acesse: https://www.gov.br/ saude/pt-br/coronavirus/publicacoes-tecnicas/guias-e-planos/plano-nacional-de- expansao-da-testagem-para-covid-19.pdf/view. 2.9 VIGILÂNCIA GENÔMICA EPIDEMIOLÓGICA DO SARS-COV-2 2.9.1 CLASSIFICAÇÃO DAS VARIANTES DO SARS-COV-2 As linhagens de SARS-CoV-2 são agrupadas em variantes, de maneira a compreender o impacto desses grupos genéticos virais.",366
adenovirus_guia_1txt_guiavsa2023.txt,"A OMS mantém uma lista atualizada das linhagens classificadas como VOC, VOI e VUM, que pode ser acessada por meio do endereço eletrônico: https://www.who.int/en/activities/tracking-SARS- CoV-2-variants/. 2.9.2 OBJETIVOS No contexto atual, os objetivos da vigilância epidemiológica das linhagens do SARS-CoV-2 no Brasil são: • Planejar o processo de seleção das amostras a serem sequenciadas por UF, de forma que permita a detecção precoce e o monitoramento dos casos de VOC, VOI ou VUM. • Identificar oportunamente a circulação de VOC, VOI ou VUM na população. • Utilizar os resultados laboratoriais da vigilância genômica para investigar os casos e seus contatos, definindo a origem e o tipo de transmissão da VOC, VOI ou VUM naquela localidade. • Intensificar, quando necessário, medidas de isolamento dos casos de covid-19 por novas VOC, VOI ou VUM e a quarentena dos seus contatos, de modo a evitar a disseminação local. • Descrever os casos e auxiliar no entendimento da dinâmica epidemiológica das VOC, VOI ou VUM em relação às outras variantes em circulação. • Propor medidas de decisão para o controle da covid-19, baseadas nos resultados das investigações epidemiológicas dos casos de covid-19 por VOC, VOI ou VUM. • Alertar a população acerca dos riscos das VOC, VOI ou VUM circulantes e as medidas de prevenção e controle. • Comunicar à população os locais com circulação de VOC, VOI ou VUM e recomendar, quando necessário, que se evitem todas as viagens não essenciais. • Intensificar o acompanhamento dos resultados de indivíduos que possuem vínculo epidemiológico com áreas com circulação de uma nova VOC, VOI ou VUM. • Alertar as pessoas provenientes de áreas com circulação confirmada da nova VOC, VOI ou VUM para reforçarem as medidas de prevenção não farmacológicas recomendadas pelo MS. • Alertar as pessoas provenientes de áreas com circulação confirmada da nova VOC, VOI ou VUM para, caso apresentem sintomas de covid-19, procurar uma unidade de saúde para avaliação clínica/testagem; e realizar isolamento, conforme orientação da equipe de saúde assistente. • Notificar imediatamente possíveis casos suspeitos de reinfecção quando houver circulação de nova VOC, VOI ou VUM. • Reforçar à população a importância de seguir o esquema vacinal recomendado para a covid-19. 2.9.3 MÉTODOS LABORATORIAIS Os métodos laboratoriais utilizados na vigilância genômica, especialmente o sequenciamento genômico, desempenham um papel importante na luta contra as epidemias emergentes e reemergentes.",375
adenovirus_guia_1txt_guiavsa2023.txt,"Portanto, até o momento, as identificações e notificações de VOC, VOI ou VUM devem ser interpretadas com cautela, principalmente no que se refere às conclusões acerca da proporção de casos, pois, para isso, é necessário conhecer o tipo e a representatividade da amostragem (Brasil, 2023h). ` SEQUENCIAMENTO GENÔMICO COMPLETO O sequenciamento genômico completo é considerado o padrão-ouro para a definição das linhagens e variantes de SARS-CoV-2, pois contempla o genoma viral inteiro, permitindo a identificação de todas as mutações que assinam as linhagens, e ainda possibilita realizar a reconstrução filogenética, podendo dar suporte à vigilância epidemiológica na definição da origem do surto (Brasil, 2023h). classificação Pangolin (do inglês, Phylogenetic Assignment of Named Global Outbreak Lineages) e recomenda-se fortemente a submissão do genoma na base de dados EpiCoV da plataforma Gisaid (https://www.gisaid.org/). ` SEQUENCIAMENTO GENÔMICO PARCIAL O sequenciamento parcial, como o realizado pela metodologia de Sanger, pode ser realizado pela amplificação de genes específicos do vírus SARS-CoV-2, como da proteína Spike.",382
adenovirus_guia_1txt_guiavsa2023.txt,"Para todo resultado de sequenciamento que identificar uma VOC, VOI, VUM ou nova linhagem com potencial de risco no contexto epidemiológico do momento (Brasil, 2023h): • A vigilância epidemiológica deve realizar busca dos dados do caso nos sistemas de informação (e-SUS Notifica e/ou Sivep-Gripe) e buscar realizar o rastreamento e o monitoramento de contatos, descrevendo a cadeia de transmissão retrospectiva e prospectiva, com o intuito de identificar o caso-índice e os casos secundários. • A inserção dos dados nos sistemas possibilita a descrição clínico-epidemiológica do caso, caracterizando o perfil epidemiológico a partir do quadro clínico, da gravidade, do desfecho e da vacinação do paciente.",406
adenovirus_guia_1txt_guiavsa2023.txt,"Se o caso não for encontrado nos sistemas e-SUS Notifica ou Sivep-Gripe, é necessário buscar os dados mínimos para realizar a investigação in loco ou por telefone. • Ainda, é necessário que seja realizado o rastreamento de contatos entre os residentes da mesma casa, seus familiares ou demais contatos próximos, no intuito de buscar os casos secundários ou outro caso-índice, caracterizando a cadeia de transmissão.",407
adenovirus_guia_1txt_guiavsa2023.txt,"Para informações detalhadas sobre os processos da vigilância genômica do SARS-CoV-2 no Brasil, recomenda-se acessar o Guia de Vigilância Genômica do SARS-CoV-2: uma abordagem epidemiológica e laboratorial (Brasil, 2023h), disponível em: https://www.gov.br/saude/pt-br/ centrais-de-conteudo/publicacoes/svsa/comunicacao/guia-de-vigilancia-genomica-do-sars- cov-2-uma-abordagem-epidemiologica-e-laboratorial/view), ou atualizações dele, que venham a ser publicadas.",408
adenovirus_guia_1txt_guiavsa2023.txt,"GUIA DE VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS 2.10 CONDIÇÕES PÓS-COVID A maioria das pessoas infectadas pelo vírus responsável pela covid-19, o SARS-CoV-2, apresentam melhora após a fase aguda da doença.",409
adenovirus_guia_1txt_guiavsa2023.txt,"Fonte: Brasil, 2023j. *Definição de caso adaptada pelo Ministério da Saúde baseada na definição do Centers for Disease Control and Prevention (CDC) e US Department of Health and Human Services, disponível em: https://www.covid.gov/longcovid/definitions, em colaboração com outras instituições e especialistas ad hoc.",414
adenovirus_guia_1txt_guiavsa2023.txt,"Uma revisão sistemática com metanálise realizada por Alkodaymi et al. investigou a prevalência de sintomas da pós-covid-19 em diferentes períodos de acompanhamento, incluindo estudos de diferentes países (Alkodaymi MS et al, 2022).",439
adenovirus_guia_1txt_guiavsa2023.txt,"Os sintomas mais comumente relatados foram fadiga, dispneia, distúrbio do sono e dificuldade de concentração (32%, 25%, 24% e 22%, respectivamente, no acompanhamento de 3 a <6 meses); intolerância ao esforço, fadiga, distúrbio do sono e dispneia (45%, 36%, 29% e 25%, respectivamente, no acompanhamento de 6 a <9 meses); fadiga (37%) e dispneia (21%) aos 9 a <12 meses; e fadiga, dispneia, distúrbio do sono e mialgia (41%, 31%, 30% e 22%, respectivamente, no acompanhamento >12 meses). ` CONDIÇÕES PÓS-COVID NO BRASIL No contexto brasileiro, foi realizada uma revisão sistemática sobre a incidência e os fatores de risco de condições pós-covid a partir de estudos realizados no território nacional pela Secretaria de Ciência, Tecnologia e Inovação e do Complexo Econômico-Industrial da Saúde (Sectics/MS).",441
adenovirus_guia_1txt_guiavsa2023.txt,Hipotensão arterial ou choque. 4.,470
adenovirus_guia_1txt_guiavsa2023.txt,"Nesses casos, o serviço de vigilância epidemiológica será responsável pela digitação do caso no formulário on-line.",507
adenovirus_guia_1txt_guiavsa2023.txt,"As requisições/solicitações de transporte de amostras deverão ser enviadas pelos Lacen à CGLAB/Daevs/SVS/MS para o e-mail cglab.transportes@saude.gov.br, utilizando o formulário de transporte de amostras, onde deverá ser indicada a finalidade do exame (sorologia para casos suspeitos de SIM-P ou SIM-A e encaminhados ao IAL), acompanhada da ficha de notificação do caso.",519
adenovirus_guia_1txt_guiavsa2023.txt,Vacinação profilática contra a covid-19.,530
adenovirus_guia_1txt_guiavsa2023.txt,"A definição de caso suspeito de reinfecção pelo vírus SARS-CoV-2 está na Nota Técnica n.º 52/2020-CGPNI/Deidt/SVS/ MS (Brasil, 2020r), disponível no endereço eletrônico: https://www.gov.br/saude/pt-br/coronavirus/ publicacoes-tecnicas/notas-tecnicas/11-sei_nota-reinfeccao.pdf/view.",537
adenovirus_guia_1txt_guiavsa2023.txt,O vírus influenza tipo A é responsável pela ocorrência da maioria das epidemias e pelas pandemias de influenza.,545
adenovirus_guia_1txt_guiavsa2023.txt,Pode infectar humanos e suínos.,550
adenovirus_guia_1txt_guiavsa2023.txt,"A principal complicação é a pneumonia, responsável por grande número de internação hospitalar (CDC, 2022; Rothberg; Haessler, 2010): • Pneumonia bacteriana e por outros vírus. • Pneumonia primária por influenza, que ocorre predominantemente em pessoas com doenças cardiovasculares (especialmente doença reumática com estenose mitral) ou em gestantes.",575
adenovirus_guia_1txt_guiavsa2023.txt,"Todas as faixas etárias • Insuficiência respiratória • Falência de múltiplos órgãos • Sepse • Hepatite Fonte: Ministério da Saúde, adaptado de Uyeki et al., 2019.",580
adenovirus_guia_1txt_guiavsa2023.txt,"Alerta: considerar necessidade de hospitalização quando ocorrerem sinais de agravamento em pacientes que apresentem condições e fatores de risco para complicação por influenza. • Persistência ou retorno da febre. • Taquipneia com aumento do esforço respiratório (batimento de asas do nariz, tiragem intercostal, supra/subesternal, supraclavicular, subcostal, contração da musculatura acessória da respiração e movimento paradoxal do abdome). • Bradipneia e ritmo respiratório irregular (colapso respiratório iminente). • Gemidos expiratórios (colapso alveolar e de pequenas vias aéreas ocasionado pelo fechamento da glote na expiração na tentativa de aumento da capacidade residual funcional pulmonar). • Estridor inspiratório (obstrução de vias aéreas superiores). • Sibilos e aumento do tempo expiratório (obstrução de vias aéreas inferiores). • Palidez cutânea e hipoxemia (SpO2 < ou = 94%). • Alteração do nível de consciência (irritabilidade ou apatia) (Brasil, 2023l).",582
adenovirus_guia_1txt_guiavsa2023.txt,Os valores normais de frequência cardíaca (FC) e frequência respiratória (FR) em crianças e adolescentes de acordo com a faixa etária estão disponíveis no Anexo 3 deste Guia.,584
adenovirus_guia_1txt_guiavsa2023.txt,"O detalhamento dessas e de outras informações laboratoriais estão descritas no Guia para Rede Laboratorial de Vigilância de Influenza (Brasil, 2016). 3.5 TRATAMENTO 3.5.1 MANEJO CLÍNICO ou fatores de risco para complicações, devendo ser priorizados para o tratamento precoce: gestantes em qualquer idade gestacional; puérperas até 2 semanas após o parto (incluindo as que tiveram aborto ou perda fetal); adultos ≥60 anos; crianças <5 anos (o maior risco de hospitalização é em menores de 2 anos, especialmente menores de 6 meses, com maior taxa de mortalidade); população indígena aldeada ou com dificuldade de acesso; indivíduos menores de 19 anos de idade em uso prolongado de ácido acetilsalicílico (risco de síndrome de Reye); indivíduos que apresentem: pneumopatias (incluindo asma); pacientes com tuberculose de todas as formas (há evidências de maior complicação e possibilidade de reativação); cardiovasculopatias (excluindo hipertensão arterial sistêmica); nefropatias; hepatopatias; doenças hematológicas (incluindo anemia falciforme); distúrbios metabólicos (incluindo diabetes mellitus); transtornos neurológicos e do desenvolvimento que podem comprometer a função respiratória ou aumentar o risco de aspiração; disfunção cognitiva, lesão medular, epilepsia, paralisia cerebral; síndrome de Down, acidente vascular encefálico (AVE) ou doenças neuromusculares; imunossupressão associada a medicamentos (corticoide – >20 mg/dia de prednisona por mais de 2 semanas, quimioterápicos, inibidores de TNFalfa), neoplasias, HIV/aids ou outros; obesidade (especialmente aqueles com índice de massa corporal – IMC ≥40 em adultos).",608
adenovirus_guia_1txt_guiavsa2023.txt,O Ministério da Saúde disponibiliza esse medicamento no SUS.,627
adenovirus_guia_1txt_guiavsa2023.txt,Observação: tratamento durante 5 dias.,631
adenovirus_guia_1txt_guiavsa2023.txt,"Caso o pó para suspensão oral não esteja disponível, o responsável pela administração do água; o conteúdo poderá ser misturado com alimentos açucarados.",634
adenovirus_guia_1txt_guiavsa2023.txt,As orientações sobre a correta diluição do medicamento encontram-se no Anexo D .,635
adenovirus_guia_1txt_guiavsa2023.txt,OBSERVAÇÃO: tratamento durante 10 dias.,655
adenovirus_guia_1txt_guiavsa2023.txt,"Para fortalecer as ações dos serviços de vigilância sentinela de SG, é importante que as equipes locais realizem pactuação dos serviços junto às esferas de gestão, procurando seguir os critérios elencados como ideais por este Ministério da Saúde, para a escolha dos serviços de saúde, com o intuito de alcançar os objetivos estabelecidos para a vigilância sentinela da influenza.",664
adenovirus_guia_1txt_guiavsa2023.txt,"Caso a ficha a ser excluída tenha um número maior de campos preenchidos, as informações adicionais disponíveis deverão ser encaminhadas ao estado, ao município ou à unidade responsável para que complemente essas informações na ficha que será mantida no sistema.",706
adenovirus_guia_1txt_guiavsa2023.txt,"Orienta-se que as amostras de casos ou óbitos por Srag e de surtos de SG, confirmados para codetecção, sejam enviadas aos Laboratórios de Referência para confirmação diagnóstica por RT-PCR em tempo real, conforme demanda e fluxos acordados (Brasil, 2023k). codetecção de influenza e SARS-CoV-2 no sistema de informação Sivep-Gripe podem ser consultadas na Nota Técnica n.º 31/2022-CGPNI/Deidt/SVS/MS (Brasil, 2022m), disponível em: https://www.gov.br/saude/ pt-br/coronavirus/publicacoes-tecnicas/notas-tecnicas/nota-tecnica-no-31-2022-cgpni-deidt-svs-ms.pdf .",717
adenovirus_guia_1txt_guiavsa2023.txt,Obesos • Obesidade grau III.,751
